collision_id,crash_date,crash_time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,vehicle_type_code1,vehicle_type_code2
4456757,2021-09-10T00:00:00.000,19:00,MANHATTAN,10019.0,40.762966,-73.973976,5 AVENUE,,EAST 57 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Motorcycle
4455827,2021-09-11T00:00:00.000,0:20,,,40.76555,-73.83911,VAN WYCK EXPWY,,,3,0,0,0,0,0,3,0,Driver Inexperience,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4456511,2021-09-10T00:00:00.000,10:55,MANHATTAN,10028.0,40.779602,-73.95553,,1280 LEXINGTON AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,,Sedan,
4456741,2021-09-11T00:00:00.000,1:39,STATEN ISLAND,10312.0,40.553192,-74.164345,RIDGEWOOD AVENUE,,GENESEE AVENUE,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Sedan,Station Wagon/Sport Utility Vehicle
4455973,2021-09-11T00:00:00.000,18:16,BRONX,10460.0,40.836094,-73.883995,,1005 EAST 174 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,E-Bike,Station Wagon/Sport Utility Vehicle
4456695,2021-07-08T00:00:00.000,12:58,BROOKLYN,11229.0,40.59692,-73.94122,,3540 NOSTRAND AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,Sedan,
4456420,2021-09-11T00:00:00.000,22:30,BROOKLYN,11204.0,40.62318,-73.98611,18 AVENUE,,58 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Sedan,Sedan
4456317,2021-09-11T00:00:00.000,18:55,BROOKLYN,11207.0,40.67562,-73.88826,LIBERTY AVENUE,,BARBEY STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Tow Truck / Wrecker,Sedan
4456781,2021-09-07T00:00:00.000,12:42,MANHATTAN,10026.0,40.80609,-73.95414,,2200 8 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,,Sedan,
4457006,2021-09-10T00:00:00.000,17:39,BRONX,10467.0,40.87739,-73.8665,WHITE PLAINS ROAD,,EAST GUN HILL ROAD,1,0,0,0,0,0,0,0,Unsafe Lane Changing,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle,E-Bike
4456149,2021-09-11T00:00:00.000,19:20,,,40.689133,-73.951324,NOSTRAND AVENUE,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Failure to Yield Right-of-Way,Sedan,Sedan
4456667,2021-06-30T00:00:00.000,19:20,BRONX,10452.0,40.83604,-73.92222,,2 EAST 167 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,Sedan,
4456885,2021-09-10T00:00:00.000,20:19,MANHATTAN,10021.0,40.76649,-73.95696,EAST 70 STREET,,1 AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,Station Wagon/Sport Utility Vehicle,
4456595,2021-07-08T00:00:00.000,13:26,BROOKLYN,11222.0,40.731613,-73.9545,MANHATTAN AVENUE,,JAVA STREET,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,Pick-up Truck,Bike
4456980,2021-09-11T00:00:00.000,8:45,MANHATTAN,10038.0,40.708324,-74.00311,,294 PEARL STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Sedan,Sedan
4456203,2021-09-11T00:00:00.000,19:00,BROOKLYN,11203.0,40.65375,-73.931274,,730 LINDEN BOULEVARD,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle
4456678,2021-07-01T00:00:00.000,8:10,QUEENS,11691.0,40.60675,-73.756645,,22-59 DIX AVENUE,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,Station Wagon/Sport Utility Vehicle,
